Fecha,Metal,Precio
07/02/2001,ORO (US$/ozt),263.03
07/02/2001,PLATA (US$/ozt),4.63
07/02/2001,PLOMO (¢/lb),22.54
07/02/2001,ZINC (¢/lb),46.72
08/02/2001,ALUMINIO (¢/lb),73.71
08/02/2001,COBRE (¢/lb),80.6
08/02/2001,ESTAÑO (¢/lb),232.47
08/02/2001,NIQUEL (¢/lb),309.58
08/02/2001,ORO (US$/ozt),263.18
08/02/2001,PLATA (US$/ozt),4.58
08/02/2001,PLOMO (¢/lb),23.13
08/02/2001,ZINC (¢/lb),46.99
09/02/2001,ALUMINIO (¢/lb),74.07
09/02/2001,COBRE (¢/lb),80.51
09/02/2001,ESTAÑO (¢/lb),231.79
09/02/2001,NIQUEL (¢/lb),307.54
09/02/2001,ORO (US$/ozt),260.2
09/02/2001,PLATA (US$/ozt),4.57
09/02/2001,PLOMO (¢/lb),23
09/02/2001,ZINC (¢/lb),46.74
12/02/2001,ALUMINIO (¢/lb),73.71
12/02/2001,COBRE (¢/lb),79.67
12/02/2001,ESTAÑO (¢/lb),232.01
12/02/2001,NIQUEL (¢/lb),296.65
12/02/2001,ORO (US$/ozt),261
12/02/2001,PLATA (US$/ozt),4.56
12/02/2001,PLOMO (¢/lb),22.66
12/02/2001,ZINC (¢/lb),46.27
13/02/2001,ALUMINIO (¢/lb),72.89
13/02/2001,COBRE (¢/lb),79.97
13/02/2001,ESTAÑO (¢/lb),233.37
13/02/2001,NIQUEL (¢/lb),298.69
13/02/2001,ORO (US$/ozt),261.13
13/02/2001,PLATA (US$/ozt),4.57
13/02/2001,PLOMO (¢/lb),23.13
13/02/2001,ZINC (¢/lb),45.9
14/02/2001,ALUMINIO (¢/lb),72.26
14/02/2001,COBRE (¢/lb),79.97
14/02/2001,ESTAÑO (¢/lb),233.83
14/02/2001,NIQUEL (¢/lb),296.88
14/02/2001,ORO (US$/ozt),260.58
14/02/2001,PLATA (US$/ozt),4.55
14/02/2001,PLOMO (¢/lb),22.77
14/02/2001,ZINC (¢/lb),46.11
15/02/2001,ALUMINIO (¢/lb),72.78
15/02/2001,COBRE (¢/lb),80.92
15/02/2001,ESTAÑO (¢/lb),233.83
15/02/2001,NIQUEL (¢/lb),291.43
15/02/2001,ORO (US$/ozt),259.03
15/02/2001,PLATA (US$/ozt),4.52
15/02/2001,PLOMO (¢/lb),23.16
15/02/2001,ZINC (¢/lb),46.29
16/02/2001,ALUMINIO (¢/lb),73.32
16/02/2001,COBRE (¢/lb),80.97
16/02/2001,ESTAÑO (¢/lb),234.05
16/02/2001,NIQUEL (¢/lb),290.3
16/02/2001,ORO (US$/ozt),257.08
16/02/2001,PLATA (US$/ozt),4.5
16/02/2001,PLOMO (¢/lb),22.97
16/02/2001,ZINC (¢/lb),46.04
19/02/2001,ALUMINIO (¢/lb),72.26
19/02/2001,COBRE (¢/lb),80.15
19/02/2001,ESTAÑO (¢/lb),233.83
19/02/2001,NIQUEL (¢/lb),288.49
19/02/2001,ORO (US$/ozt),259.2
19/02/2001,PLATA (US$/ozt),4.5
19/02/2001,PLOMO (¢/lb),22.91
19/02/2001,ZINC (¢/lb),45.95
20/02/2001,ALUMINIO (¢/lb),71.99
20/02/2001,COBRE (¢/lb),79.76
20/02/2001,ESTAÑO (¢/lb),231.56
20/02/2001,NIQUEL (¢/lb),286.22
20/02/2001,ORO (US$/ozt),257.28
20/02/2001,PLATA (US$/ozt),4.5
20/02/2001,PLOMO (¢/lb),22.93
20/02/2001,ZINC (¢/lb),45.65
21/02/2001,ALUMINIO (¢/lb),71.33
21/02/2001,COBRE (¢/lb),79.74
21/02/2001,ESTAÑO (¢/lb),231.11
21/02/2001,NIQUEL (¢/lb),284.63
21/02/2001,ORO (US$/ozt),257.4
21/02/2001,PLATA (US$/ozt),4.42
21/02/2001,PLOMO (¢/lb),22.77
21/02/2001,ZINC (¢/lb),45.75
22/02/2001,ALUMINIO (¢/lb),70.22
22/02/2001,COBRE (¢/lb),78.97
22/02/2001,ESTAÑO (¢/lb),230.88
22/02/2001,NIQUEL (¢/lb),281
22/02/2001,ORO (US$/ozt),258.43
22/02/2001,PLATA (US$/ozt),4.43
22/02/2001,PLOMO (¢/lb),22.36
22/02/2001,ZINC (¢/lb),45.68
23/02/2001,ALUMINIO (¢/lb),69.47
23/02/2001,COBRE (¢/lb),79.04
23/02/2001,ESTAÑO (¢/lb),231.11
23/02/2001,NIQUEL (¢/lb),282.82
23/02/2001,ORO (US$/ozt),260.2
23/02/2001,PLATA (US$/ozt),4.45
23/02/2001,PLOMO (¢/lb),22.39
23/02/2001,ZINC (¢/lb),45.97
26/02/2001,ALUMINIO (¢/lb),69.85
26/02/2001,COBRE (¢/lb),78.74
26/02/2001,ESTAÑO (¢/lb),231.33
26/02/2001,NIQUEL (¢/lb),281.68
26/02/2001,ORO (US$/ozt),263
26/02/2001,PLATA (US$/ozt),4.44
26/02/2001,PLOMO (¢/lb),22.61
26/02/2001,ZINC (¢/lb),46.29
27/02/2001,ALUMINIO (¢/lb),70.87
27/02/2001,COBRE (¢/lb),79.29
27/02/2001,ESTAÑO (¢/lb),230.88
27/02/2001,NIQUEL (¢/lb),290.07
27/02/2001,ORO (US$/ozt),268.2
27/02/2001,PLATA (US$/ozt),4.46
27/02/2001,PLOMO (¢/lb),22.82
27/02/2001,ZINC (¢/lb),46.33
28/02/2001,ALUMINIO (¢/lb),70.44
28/02/2001,COBRE (¢/lb),78.83
28/02/2001,ESTAÑO (¢/lb),229.06
28/02/2001,NIQUEL (¢/lb),287.12
28/02/2001,ORO (US$/ozt),265.85
28/02/2001,PLATA (US$/ozt),4.43
28/02/2001,PLOMO (¢/lb),23.25
28/02/2001,ZINC (¢/lb),46.31
01/03/2001,ALUMINIO (¢/lb),71.06
01/03/2001,COBRE (¢/lb),80.24
01/03/2001,ESTAÑO (¢/lb),232.69
01/03/2001,NIQUEL (¢/lb),291.66
01/03/2001,ORO (US$/ozt),266.53
01/03/2001,PLATA (US$/ozt),4.51
01/03/2001,PLOMO (¢/lb),23.22
01/03/2001,ZINC (¢/lb),47.02
02/03/2001,ALUMINIO (¢/lb),70.76
02/03/2001,COBRE (¢/lb),80.99
02/03/2001,ESTAÑO (¢/lb),231.33
02/03/2001,NIQUEL (¢/lb),290.3
02/03/2001,ORO (US$/ozt),263.23
02/03/2001,PLATA (US$/ozt),4.42
02/03/2001,PLOMO (¢/lb),23.09
02/03/2001,ZINC (¢/lb),46.79
05/03/2001,ALUMINIO (¢/lb),70.85
05/03/2001,COBRE (¢/lb),81.1
05/03/2001,ESTAÑO (¢/lb),233.37
05/03/2001,NIQUEL (¢/lb),286.22
05/03/2001,ORO (US$/ozt),262.18
05/03/2001,PLATA (US$/ozt),4.4
05/03/2001,PLOMO (¢/lb),23.09
05/03/2001,ZINC (¢/lb),46.77
06/03/2001,ALUMINIO (¢/lb),71.74
06/03/2001,COBRE (¢/lb),82.67
06/03/2001,ESTAÑO (¢/lb),231.33
06/03/2001,NIQUEL (¢/lb),284.86
06/03/2001,ORO (US$/ozt),262.23
06/03/2001,PLATA (US$/ozt),4.42
06/03/2001,PLOMO (¢/lb),23.22
06/03/2001,ZINC (¢/lb),46.99
07/03/2001,ALUMINIO (¢/lb),71.06
07/03/2001,COBRE (¢/lb),82.3
07/03/2001,ESTAÑO (¢/lb),230.88
07/03/2001,NIQUEL (¢/lb),280.09
07/03/2001,ORO (US$/ozt),261.1
07/03/2001,PLATA (US$/ozt),4.42
07/03/2001,PLOMO (¢/lb),23.11
07/03/2001,ZINC (¢/lb),46.36
08/03/2001,ALUMINIO (¢/lb),69.94
08/03/2001,COBRE (¢/lb),80.94
08/03/2001,ESTAÑO (¢/lb),230.2
08/03/2001,NIQUEL (¢/lb),276.24
08/03/2001,ORO (US$/ozt),263.63
08/03/2001,PLATA (US$/ozt),4.46
08/03/2001,PLOMO (¢/lb),23.43
08/03/2001,ZINC (¢/lb),45.88
09/03/2001,ALUMINIO (¢/lb),69.35
09/03/2001,COBRE (¢/lb),80.74
09/03/2001,ESTAÑO (¢/lb),229.97
09/03/2001,NIQUEL (¢/lb),279.87
09/03/2001,ORO (US$/ozt),269.28
09/03/2001,PLATA (US$/ozt),4.51
09/03/2001,PLOMO (¢/lb),23.45
09/03/2001,ZINC (¢/lb),45.9
12/03/2001,ALUMINIO (¢/lb),68.97
12/03/2001,COBRE (¢/lb),80.72
12/03/2001,ESTAÑO (¢/lb),230.2
12/03/2001,NIQUEL (¢/lb),279.87
12/03/2001,ORO (US$/ozt),271.5
12/03/2001,PLATA (US$/ozt),4.51
12/03/2001,PLOMO (¢/lb),23.7
12/03/2001,ZINC (¢/lb),45.7
13/03/2001,ALUMINIO (¢/lb),68.27
13/03/2001,COBRE (¢/lb),79.79
13/03/2001,ESTAÑO (¢/lb),228.61
13/03/2001,NIQUEL (¢/lb),278.96
13/03/2001,ORO (US$/ozt),269.35
13/03/2001,PLATA (US$/ozt),4.42
13/03/2001,PLOMO (¢/lb),22.97
13/03/2001,ZINC (¢/lb),45.31
14/03/2001,ALUMINIO (¢/lb),68.15
14/03/2001,COBRE (¢/lb),79.22
14/03/2001,ESTAÑO (¢/lb),228.84
14/03/2001,NIQUEL (¢/lb),272.61
14/03/2001,ORO (US$/ozt),265.65
14/03/2001,PLATA (US$/ozt),4.45
14/03/2001,PLOMO (¢/lb),22.57
14/03/2001,ZINC (¢/lb),44.97
15/03/2001,ALUMINIO (¢/lb),68.2
15/03/2001,COBRE (¢/lb),78.93
15/03/2001,ESTAÑO (¢/lb),228.61
15/03/2001,NIQUEL (¢/lb),276.24
15/03/2001,ORO (US$/ozt),262.38
15/03/2001,PLATA (US$/ozt),4.42
15/03/2001,PLOMO (¢/lb),22.36
15/03/2001,ZINC (¢/lb),45.29
16/03/2001,ALUMINIO (¢/lb),67.77
16/03/2001,COBRE (¢/lb),78.63
16/03/2001,ESTAÑO (¢/lb),227.48
16/03/2001,NIQUEL (¢/lb),270.8
16/03/2001,ORO (US$/ozt),260.45
16/03/2001,PLATA (US$/ozt),4.35
16/03/2001,PLOMO (¢/lb),22.77
16/03/2001,ZINC (¢/lb),45.45
19/03/2001,ALUMINIO (¢/lb),67.13
19/03/2001,COBRE (¢/lb),77.59
19/03/2001,ESTAÑO (¢/lb),227.02
19/03/2001,NIQUEL (¢/lb),271.25
19/03/2001,ORO (US$/ozt),260.53
19/03/2001,PLATA (US$/ozt),4.33
19/03/2001,PLOMO (¢/lb),22.73
19/03/2001,ZINC (¢/lb),45.75
20/03/2001,ALUMINIO (¢/lb),67.7
20/03/2001,COBRE (¢/lb),78.15
20/03/2001,ESTAÑO (¢/lb),228.84
20/03/2001,NIQUEL (¢/lb),281.68
20/03/2001,ORO (US$/ozt),262.08
20/03/2001,PLATA (US$/ozt),4.34
20/03/2001,PLOMO (¢/lb),22.66
20/03/2001,ZINC (¢/lb),45.65
21/03/2001,ALUMINIO (¢/lb),67.18
21/03/2001,COBRE (¢/lb),77.18
21/03/2001,ESTAÑO (¢/lb),227.7
21/03/2001,NIQUEL (¢/lb),279.41
21/03/2001,ORO (US$/ozt),261.6
21/03/2001,PLATA (US$/ozt),4.34
21/03/2001,PLOMO (¢/lb),22
21/03/2001,ZINC (¢/lb),44.91
22/03/2001,ALUMINIO (¢/lb),66.77
22/03/2001,COBRE (¢/lb),76.84
22/03/2001,ESTAÑO (¢/lb),228.84
22/03/2001,NIQUEL (¢/lb),286.22
22/03/2001,ORO (US$/ozt),261.7
22/03/2001,PLATA (US$/ozt),4.34
22/03/2001,PLOMO (¢/lb),21.84
22/03/2001,ZINC (¢/lb),45.18
23/03/2001,ALUMINIO (¢/lb),67.4
23/03/2001,COBRE (¢/lb),77.18
23/03/2001,ESTAÑO (¢/lb),228.61
23/03/2001,NIQUEL (¢/lb),281.45
23/03/2001,ORO (US$/ozt),262.58
23/03/2001,PLATA (US$/ozt),4.35
23/03/2001,PLOMO (¢/lb),22.23
23/03/2001,ZINC (¢/lb),45.36
26/03/2001,ALUMINIO (¢/lb),67.04
26/03/2001,COBRE (¢/lb),77.75
26/03/2001,ESTAÑO (¢/lb),229.29
